dataset,model,condition,slice,clean_mean,random_mean,structured_mean,random_degradation,structured_degradation,differential_degradation,ci_low,ci_high
WN18RR,TransE,Structured-low,overall,0.12888178553240257,0.13095351369892413,0.1267661139177077,-0.002071728166521569,0.002115671614694864,0.004187399781216433,-0.0002700154657158976,0.008614091188446518
WN18RR,TransE,Relation-low,overall,0.12888178553240257,0.13095351369892413,0.11467651404307512,-0.002071728166521569,0.014205271489327445,0.016276999655849014,0.009437391826212765,0.023295974290837157
WN18RR,DistMult,Structured-low,overall,0.22074737752008838,0.13526352520686571,0.15482840592136846,0.08548385231322267,0.06591897159871993,-0.01956488071450274,-0.04850172205636985,0.007335499018095854
WN18RR,DistMult,Relation-low,overall,0.22074737752008838,0.13526352520686571,0.16924556110363456,0.08548385231322267,0.05150181641645382,-0.03398203589676885,-0.05765491988141734,-0.015511340867883043
WN18RR,ComplEx,Structured-low,overall,0.31818972662325234,0.21729815871771907,0.22387912119238781,0.10089156790553327,0.09431060543086453,-0.0065809624746687445,-0.022437370721186314,0.00858175663432286
WN18RR,ComplEx,Relation-low,overall,0.31818972662325234,0.21729815871771907,0.240031022636401,0.10089156790553327,0.07815870398685135,-0.022732863918681928,-0.04007229452230205,-0.007436254323741135
WN18RR,RotatE,Structured-low,overall,0.0022628343250678156,0.003058598012772396,0.0029892389088234236,-0.0007957636877045805,-0.000726404583755608,6.935910394897243e-05,-0.0010864923215544826,0.001372053279722396
WN18RR,RotatE,Relation-low,overall,0.0022628343250678156,0.003058598012772396,0.002733474284857841,-0.0007957636877045805,-0.00047063995979002536,0.0003251237279145551,-0.0010206298925229257,0.0016398387284546588
WN18RR,TransE,Structured-low,coverage_low,0.08930731029015258,0.10769765195951708,0.10113227870327661,-0.0183903416693645,-0.011824968413124026,0.006565373256240473,-0.0023680899027939094,0.015227048513208694
WN18RR,TransE,Relation-low,coverage_low,0.08930731029015258,0.10769765195951708,0.0792433813486464,-0.0183903416693645,0.010063928941506178,0.028454270610870677,0.017257324209693916,0.039487115051534134
WN18RR,DistMult,Structured-low,coverage_low,0.07073118816668965,0.0558009246452349,0.05897539428364184,0.014930263521454747,0.011755793883047809,-0.0031744696384069376,-0.01477044135500219,0.009221062929481882
WN18RR,DistMult,Relation-low,coverage_low,0.07073118816668965,0.0558009246452349,0.04767064638132409,0.014930263521454747,0.02306054178536556,0.008130278263910815,-0.0021381320383350127,0.020464980254205473
WN18RR,ComplEx,Structured-low,coverage_low,0.08675993170678387,0.06613398582344947,0.0687897699364337,0.0206259458833344,0.01797016177035017,-0.0026557841129842275,-0.011807217808591095,0.005457372193953703
WN18RR,ComplEx,Relation-low,coverage_low,0.08675993170678387,0.06613398582344947,0.05720138647941894,0.0206259458833344,0.029558545227364924,0.008932599344030526,-0.00020016066145216708,0.01875232662354785
WN18RR,RotatE,Structured-low,coverage_low,0.0016821208018203667,0.0024157875496191275,0.0018414099602777855,-0.0007336667477987609,-0.0001592891584574188,0.000574377589341342,-0.0010528184914377,0.00244869309091287
WN18RR,RotatE,Relation-low,coverage_low,0.0016821208018203667,0.0024157875496191275,0.0017869544149562116,-0.0007336667477987609,-0.00010483361313584497,0.0006288331346629159,-0.0008841524738394753,0.0025162269785755135
WN18RR,TransE,Structured-low,relation_low,0.11517379360716323,0.12622686279398734,0.11763027404078974,-0.01105306918682411,-0.0024564804336265067,0.008596588753197604,-0.0007282494259719184,0.01818308572599759
WN18RR,TransE,Relation-low,relation_low,0.11517379360716323,0.12622686279398734,0.04407876839506868,-0.01105306918682411,0.07109502521209454,0.08214809439891865,0.06733133626073348,0.09725905952586622
WN18RR,DistMult,Structured-low,relation_low,0.10006000810998468,0.061304314725990086,0.06648786529531751,0.038755693383994594,0.033572142814667166,-0.0051835505693274275,-0.02788694957766739,0.01650026295754458
WN18RR,DistMult,Relation-low,relation_low,0.10006000810998468,0.061304314725990086,0.008705017258420798,0.038755693383994594,0.09135499085156389,0.05259929746756929,0.03878325270900065,0.06722620050375597
WN18RR,ComplEx,Structured-low,relation_low,0.12747873945230606,0.08599416388123489,0.08929022617985961,0.04148457557107117,0.03818851327244645,-0.0032960622986247246,-0.01598238220988371,0.012424772691920558
