dataset,model_a,model_b,condition,slice,interaction,ci_low,ci_high,supported
WN18RR,TransE,DistMult,Structured-low,overall,0.023752280495719175,-0.0026182880044960583,0.05338429759073794,False
WN18RR,TransE,DistMult,Relation-low,overall,0.05025903555261786,0.031202047520909267,0.07571328913069886,True
WN18RR,TransE,ComplEx,Structured-low,overall,0.010768362255885178,-0.0050368472605438275,0.028138009500518774,False
WN18RR,TransE,ComplEx,Relation-low,overall,0.03900986357453094,0.02451347992418474,0.05687340415602997,True
WN18RR,TransE,RotatE,Structured-low,overall,0.004118040677267461,-0.0006712700533030177,0.008792495997569684,False
WN18RR,TransE,RotatE,Relation-low,overall,0.01595187592793446,0.009080913592477348,0.02328321347261175,True
WN18RR,DistMult,ComplEx,Structured-low,overall,-0.012983918239833997,-0.05307178802125056,0.022317000863132,False
WN18RR,DistMult,ComplEx,Relation-low,overall,-0.01124917197808692,-0.044463381792378374,0.017728158500035302,False
WN18RR,DistMult,RotatE,Structured-low,overall,-0.019634239818451714,-0.04858692436458296,0.0070862510976579095,False
WN18RR,DistMult,RotatE,Relation-low,overall,-0.034307159624683406,-0.05727662242312115,-0.0158344599144015,True
WN18RR,ComplEx,RotatE,Structured-low,overall,-0.006650321578617717,-0.02221809364398013,0.008607330267573588,False
WN18RR,ComplEx,RotatE,Relation-low,overall,-0.023057987646596483,-0.03996234337824714,-0.007873323641906902,True
WN18RR,TransE,DistMult,Structured-low,coverage_low,0.00973984289464741,-0.00613254506688163,0.02487750240911416,False
WN18RR,TransE,DistMult,Relation-low,coverage_low,0.020323992346959863,0.0031085839847131832,0.03550020639285068,True
WN18RR,TransE,ComplEx,Structured-low,coverage_low,0.0092211573692247,-0.0040435184439845855,0.02219370911114793,False
WN18RR,TransE,ComplEx,Relation-low,coverage_low,0.01952167126684015,0.007731028688541814,0.03173272881974146,True
WN18RR,TransE,RotatE,Structured-low,coverage_low,0.00599099566689913,-0.003208792522243046,0.015097403102575756,False
WN18RR,TransE,RotatE,Relation-low,coverage_low,0.027825437476207762,0.016433625798236203,0.039091185230348706,True
WN18RR,DistMult,ComplEx,Structured-low,coverage_low,-0.0005186855254227102,-0.01678876220317461,0.015049853362099016,False
WN18RR,DistMult,ComplEx,Relation-low,coverage_low,-0.0008023210801197111,-0.016413224017015934,0.015195107053119225,False
WN18RR,DistMult,RotatE,Structured-low,coverage_low,-0.00374884722774828,-0.014889650123623031,0.008452235872246177,False
WN18RR,DistMult,RotatE,Relation-low,coverage_low,0.007501445129247899,-0.0026258515614512863,0.019454682422065325,False
WN18RR,ComplEx,RotatE,Structured-low,coverage_low,-0.0032301617023255697,-0.012320219678576766,0.005391214403192662,False
WN18RR,ComplEx,RotatE,Relation-low,coverage_low,0.00830376620936761,-0.0008885046039440259,0.018667148195413378,False
WN18RR,TransE,DistMult,Structured-low,relation_low,0.013780139322525031,-0.008725114112140888,0.03937275532990986,False
WN18RR,TransE,DistMult,Relation-low,relation_low,0.02954879693134936,0.011151656706866913,0.049502923833434805,True
WN18RR,TransE,ComplEx,Structured-low,relation_low,0.011892651051822328,-0.004147788599983947,0.027184870374429605,False
WN18RR,TransE,ComplEx,Relation-low,relation_low,0.0026713140977856348,-0.015297789093665068,0.021377376742485,False
WN18RR,TransE,RotatE,Structured-low,relation_low,0.008497336690940917,-0.0013227956790504518,0.01845976896534154,False
WN18RR,TransE,RotatE,Relation-low,relation_low,0.08069112537242093,0.06535579367070693,0.0964748694500433,True
WN18RR,DistMult,ComplEx,Structured-low,relation_low,-0.001887488270702703,-0.036692727525572934,0.024916683760357397,False
WN18RR,DistMult,ComplEx,Relation-low,relation_low,-0.026877482833563726,-0.04458213004891004,-0.009877937695454071,True
WN18RR,DistMult,RotatE,Structured-low,relation_low,-0.0052828026315841145,-0.02697358175468224,0.0162724231559999,False
WN18RR,DistMult,RotatE,Relation-low,relation_low,0.051142328441071576,0.03782323679084214,0.06541900374386839,True
WN18RR,ComplEx,RotatE,Structured-low,relation_low,-0.0033953143608814115,-0.016864363483703477,0.012987919785172301,False
WN18RR,ComplEx,RotatE,Relation-low,relation_low,0.0780198112746353,0.06146203160868043,0.09515356577387898,True
WN18RR,TransE,DistMult,Structured-low,coverage_mid,0.02427377890134419,-0.014297563869656785,0.06499545007023301,False
WN18RR,TransE,DistMult,Relation-low,coverage_mid,0.05799241371846761,0.03511856113772549,0.08759877589378734,True
WN18RR,TransE,ComplEx,Structured-low,coverage_mid,-0.0014888718959679414,-0.019118337847442123,0.020284040612170744,False
WN18RR,TransE,ComplEx,Relation-low,coverage_mid,0.038074467157729386,0.016494152686657083,0.06661137018461692,True
WN18RR,TransE,RotatE,Structured-low,coverage_mid,0.007110005261197498,-0.0014579235818054808,0.014941529833929277,False
WN18RR,TransE,RotatE,Relation-low,coverage_mid,0.017856858685310634,0.0033866887245483914,0.032328117126163916,True
WN18RR,DistMult,ComplEx,Structured-low,coverage_mid,-0.02576265079731213,-0.07552121753730505,0.019104336215385476,False
WN18RR,DistMult,ComplEx,Relation-low,coverage_mid,-0.019917946560738226,-0.061852807173652075,0.01823152743069133,False
WN18RR,DistMult,RotatE,Structured-low,coverage_mid,-0.017163773640146693,-0.058051964936103276,0.020053567190097866,False
WN18RR,DistMult,RotatE,Relation-low,coverage_mid,-0.04013555503315698,-0.0735376109342916,-0.012607818165293664,True
WN18RR,ComplEx,RotatE,Structured-low,coverage_mid,0.008598877157165438,-0.009167247115558809,0.02508423635776254,False
WN18RR,ComplEx,RotatE,Relation-low,coverage_mid,-0.02021760847241875,-0.04185904236827121,-0.0016909263260338906,True
WN18RR,TransE,DistMult,Structured-low,relation_mid,0.052084334897211676,-0.006035704661196714,0.12044188019513068,False
WN18RR,TransE,DistMult,Relation-low,relation_mid,0.11889215187743898,0.07666978803898704,0.1740337570419338,True
WN18RR,TransE,ComplEx,Structured-low,relation_mid,0.013983762405916728,-0.018869758843879213,0.05828770637308305,False
WN18RR,TransE,ComplEx,Relation-low,relation_mid,0.10589230622393672,0.07064939843040144,0.15248297380549944,True
WN18RR,TransE,RotatE,Structured-low,relation_mid,-0.001600814386174544,-0.010471305670734506,0.007226522215809688,False
WN18RR,TransE,RotatE,Relation-low,relation_mid,-0.0201390146991645,-0.029452105352727714,-0.010427584617602941,True
WN18RR,DistMult,ComplEx,Structured-low,relation_mid,-0.03810057249129495,-0.12531707487585853,0.04090562347025563,False
WN18RR,DistMult,ComplEx,Relation-low,relation_mid,-0.012999845653502262,-0.08966653342413607,0.053721490849234076,False
WN18RR,DistMult,RotatE,Structured-low,relation_mid,-0.05368514928338622,-0.11946397249610008,0.006898752532660387,False
WN18RR,DistMult,RotatE,Relation-low,relation_mid,-0.13903116657660347,-0.19307739852603018,-0.09755239806319761,True
WN18RR,ComplEx,RotatE,Structured-low,relation_mid,-0.015584576792091272,-0.05467249270480863,0.018055587674458518,False
WN18RR,ComplEx,RotatE,Relation-low,relation_mid,-0.1260313209231012,-0.16735916837291065,-0.0917393219314312,True
WN18RR,TransE,DistMult,Structured-low,coverage_high,0.03481321603133922,0.0012025725110388682,0.07448690510140452,True
WN18RR,TransE,DistMult,Relation-low,coverage_high,0.06670294831531567,0.03713731288346927,0.10534453895402009,True
WN18RR,TransE,ComplEx,Structured-low,coverage_high,0.02535840785040963,-0.00019244592602650533,0.051503987964083404,False
WN18RR,TransE,ComplEx,Relation-low,coverage_high,0.056195979999524054,0.030707285871543658,0.08214533447516198,True
WN18RR,TransE,RotatE,Structured-low,coverage_high,-0.0006840974810560824,-0.008179233660406042,0.00708130223539346,False
WN18RR,TransE,RotatE,Relation-low,coverage_high,0.004031567296383024,-0.007532017050949939,0.016739109383092792,False
WN18RR,DistMult,ComplEx,Structured-low,coverage_high,-0.009454808180929586,-0.06319653489466012,0.03906776573881365,False
WN18RR,DistMult,ComplEx,Relation-low,coverage_high,-0.01050696831579162,-0.055704987837665976,0.027443709696205465,False
WN18RR,DistMult,RotatE,Structured-low,coverage_high,-0.0354973135123953,-0.07466822089496326,-0.0011257095837743027,True
WN18RR,DistMult,RotatE,Relation-low,coverage_high,-0.06267138101893265,-0.093910177433197,-0.0393351517628352,True
WN18RR,ComplEx,RotatE,Structured-low,coverage_high,-0.026042505331465713,-0.05140811231451579,0.002290786063780006,False
WN18RR,ComplEx,RotatE,Relation-low,coverage_high,-0.05216441270314103,-0.07937249673550205,-0.025638784140315323,True
WN18RR,TransE,DistMult,Structured-low,relation_high,0.005877648826583374,-0.004463967481540977,0.015603511742624502,False
WN18RR,TransE,DistMult,Relation-low,relation_high,0.004729552028835411,-0.00598844789869074,0.016366265754633676,False
WN18RR,TransE,ComplEx,Structured-low,relation_high,0.0072808407554477254,-0.0024066577702241652,0.016385553078474214,False
WN18RR,TransE,ComplEx,Relation-low,relation_high,0.005089914031145795,-0.006716980865154879,0.016099492637359665,False
WN18RR,TransE,RotatE,Structured-low,relation_high,0.006195738409541546,-0.001288052739208587,0.013943654056083235,False
WN18RR,TransE,RotatE,Relation-low,relation_high,0.005070631909480939,-0.004891860523379561,0.015273089155635546,False
WN18RR,DistMult,ComplEx,Structured-low,relation_high,0.0014031919288643516,-0.008840844623221242,0.012110518329157435,False
WN18RR,DistMult,ComplEx,Relation-low,relation_high,0.000360362002310384,-0.009641592463559749,0.01071491085518536,False
WN18RR,DistMult,RotatE,Structured-low,relation_high,0.00031808958295817145,-0.0066515880032161365,0.007861087640994857,False
WN18RR,DistMult,RotatE,Relation-low,relation_high,0.00034107988064552806,-0.006761956226500996,0.008025216931314081,False
WN18RR,ComplEx,RotatE,Structured-low,relation_high,-0.0010851023459061801,-0.007623388567791499,0.005501826526537812,False
WN18RR,ComplEx,RotatE,Relation-low,relation_high,-1.9282121664855947e-05,-0.005724122385015774,0.00531927204311118,False
CoDEx-M,TransE,DistMult,Structured-low,overall,-0.005075941438907147,-0.0129506195738885,0.005177400603999314,False
CoDEx-M,TransE,DistMult,Relation-low,overall,-0.014305422986073332,-0.024157248956433747,-0.005330617300642038,True
CoDEx-M,TransE,ComplEx,Structured-low,overall,-0.006169494084405466,-0.01410698765055533,0.0012298365177777246,False
CoDEx-M,TransE,ComplEx,Relation-low,overall,-0.01851612116479827,-0.02856559659853687,-0.008702802043981222,True
CoDEx-M,TransE,RotatE,Structured-low,overall,-0.0020146129804593793,-0.010253331398491765,0.004468792253632295,False
