dataset,model,condition,slice,mean,ci_low,ci_high,n_deletion_realizations,n_training_seeds,n_queries
WN18RR,TransE,Original,overall,0.12888178553240257,0.12060887202601775,0.1378310309951782,1,3,3134
WN18RR,TransE,Random,overall,0.13095351369892413,0.12364816245662445,0.13841163228813727,3,3,3134
WN18RR,TransE,Structured-low,overall,0.1267661139177077,0.11962278389604575,0.13387931778709486,3,3,3134
WN18RR,TransE,Relation-low,overall,0.11467651404307512,0.1077344145073281,0.12200563929766038,3,3,3134
WN18RR,DistMult,Original,overall,0.22074737752008838,0.19855901116752894,0.24122114363222052,1,3,3134
WN18RR,DistMult,Random,overall,0.13526352520686571,0.11372725060381762,0.1546168999772682,3,3,3134
WN18RR,DistMult,Structured-low,overall,0.15482840592136846,0.14011967709461787,0.17006344160564987,3,3,3134
WN18RR,DistMult,Relation-low,overall,0.16924556110363456,0.15777768978770573,0.18038301129418388,3,3,3134
WN18RR,ComplEx,Original,overall,0.31818972662325234,0.29078630909358366,0.34211299594888944,1,3,3134
WN18RR,ComplEx,Random,overall,0.21729815871771907,0.20021014180045635,0.2324627948542058,3,3,3134
WN18RR,ComplEx,Structured-low,overall,0.22387912119238781,0.20952414397998614,0.23731269982797928,3,3,3134
WN18RR,ComplEx,Relation-low,overall,0.240031022636401,0.2259914048062922,0.2536514742784988,3,3,3134
WN18RR,RotatE,Original,overall,0.0022628343250678156,0.0015881488222555778,0.0031986046612184453,1,3,3134
WN18RR,RotatE,Random,overall,0.003058598012772396,0.0021230944417550495,0.004356461187249007,3,3,3134
WN18RR,RotatE,Structured-low,overall,0.0029892389088234236,0.0022071044649966394,0.004020361049233705,3,3,3134
WN18RR,RotatE,Relation-low,overall,0.002733474284857841,0.001790256026245598,0.0038369829912613365,3,3,3134
WN18RR,TransE,Original,coverage_low,0.08930731029015258,0.07569734082733885,0.1040765736993214,1,3,892
WN18RR,TransE,Random,coverage_low,0.10769765195951708,0.0920371747715767,0.12390482850277967,3,3,892
WN18RR,TransE,Structured-low,coverage_low,0.10113227870327661,0.08604269692845841,0.11649851027884435,3,3,892
WN18RR,TransE,Relation-low,coverage_low,0.0792433813486464,0.06477966297322309,0.09439250207962413,3,3,892
WN18RR,DistMult,Original,coverage_low,0.07073118816668965,0.054673454335548356,0.0876799771702905,1,3,892
WN18RR,DistMult,Random,coverage_low,0.0558009246452349,0.04249738974837373,0.07187347294378939,3,3,892
WN18RR,DistMult,Structured-low,coverage_low,0.05897539428364184,0.04636963462086185,0.07318323661598457,3,3,892
WN18RR,DistMult,Relation-low,coverage_low,0.04767064638132409,0.03656407423502539,0.05972906104474403,3,3,892
WN18RR,ComplEx,Original,coverage_low,0.08675993170678387,0.06908633237012987,0.1064625205605224,1,3,892
WN18RR,ComplEx,Random,coverage_low,0.06613398582344947,0.05223166093812997,0.08205792550868582,3,3,892
WN18RR,ComplEx,Structured-low,coverage_low,0.0687897699364337,0.054968008604137655,0.0848270668426621,3,3,892
WN18RR,ComplEx,Relation-low,coverage_low,0.05720138647941894,0.04427392770909707,0.07169297112241049,3,3,892
WN18RR,RotatE,Original,coverage_low,0.0016821208018203667,0.0006468338052598271,0.003228752392169306,1,3,892
WN18RR,RotatE,Random,coverage_low,0.0024157875496191275,0.0012707996152794554,0.0042838185449236964,3,3,892
WN18RR,RotatE,Structured-low,coverage_low,0.0018414099602777855,0.0009584259666531728,0.0034783138263152426,3,3,892
WN18RR,RotatE,Relation-low,coverage_low,0.0017869544149562116,0.0010113989702032807,0.003163960657345215,3,3,892
