dataset,model_a,model_b,condition_a,condition_b,slice,gap_a,gap_a_ci_low,gap_a_ci_high,gap_b,gap_b_ci_low,gap_b_ci_high,supported
WN18RR,TransE,DistMult,Random,Structured-low,overall,-0.00431001150794158,-0.02359994469139006,0.018111382391692337,-0.028062292003660755,-0.04308824656358058,-0.013322485715588049,False
WN18RR,TransE,DistMult,Random,Relation-low,overall,-0.00431001150794158,-0.02359994469139006,0.018111382391692337,-0.05456904706055944,-0.06431592731645162,-0.044421655071351304,False
WN18RR,TransE,DistMult,Structured-low,Relation-low,overall,-0.028062292003660755,-0.04308824656358058,-0.013322485715588049,-0.05456904706055944,-0.06431592731645162,-0.044421655071351304,False
WN18RR,TransE,ComplEx,Random,Structured-low,overall,-0.08634464501879494,-0.1002569685487637,-0.06990614502518343,-0.09711300727468011,-0.10974274697842731,-0.08339344336916378,False
WN18RR,TransE,ComplEx,Random,Relation-low,overall,-0.08634464501879494,-0.1002569685487637,-0.06990614502518343,-0.12535450859332586,-0.137065721656966,-0.11307592768992683,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,overall,-0.09711300727468011,-0.10974274697842731,-0.08339344336916378,-0.12535450859332586,-0.137065721656966,-0.11307592768992683,False
WN18RR,TransE,RotatE,Random,Structured-low,overall,0.12789491568615174,0.12050902417459614,0.13545469822319978,0.12377687500888428,0.11659566658347192,0.13089918238251427,False
WN18RR,TransE,RotatE,Random,Relation-low,overall,0.12789491568615174,0.12050902417459614,0.13545469822319978,0.11194303975821727,0.10477591018202759,0.11933868801517206,False
WN18RR,TransE,RotatE,Structured-low,Relation-low,overall,0.12377687500888428,0.11659566658347192,0.13089918238251427,0.11194303975821727,0.10477591018202759,0.11933868801517206,False
WN18RR,DistMult,ComplEx,Random,Structured-low,overall,-0.08203463351085336,-0.10829973526634469,-0.058343222996586584,-0.06905071527101936,-0.08480030120636053,-0.051143799868518816,False
WN18RR,DistMult,ComplEx,Random,Relation-low,overall,-0.08203463351085336,-0.10829973526634469,-0.058343222996586584,-0.07078546153276644,-0.08069900193324978,-0.06083692439211021,False
WN18RR,DistMult,ComplEx,Structured-low,Relation-low,overall,-0.06905071527101936,-0.08480030120636053,-0.051143799868518816,-0.07078546153276644,-0.08069900193324978,-0.06083692439211021,False
WN18RR,DistMult,RotatE,Random,Structured-low,overall,0.13220492719409332,0.11065891144134275,0.1514107812315948,0.15183916701254505,0.13733286645318818,0.16679650196760054,False
WN18RR,DistMult,RotatE,Random,Relation-low,overall,0.13220492719409332,0.11065891144134275,0.1514107812315948,0.16651208681877672,0.1551564134301568,0.17757178170438145,False
WN18RR,DistMult,RotatE,Structured-low,Relation-low,overall,0.15183916701254505,0.13733286645318818,0.16679650196760054,0.16651208681877672,0.1551564134301568,0.17757178170438145,False
WN18RR,ComplEx,RotatE,Random,Structured-low,overall,0.21423956070494668,0.19749128433233665,0.22935069995307664,0.2208898822835644,0.2067113277688623,0.23419801358920142,False
WN18RR,ComplEx,RotatE,Random,Relation-low,overall,0.21423956070494668,0.19749128433233665,0.22935069995307664,0.23729754835154315,0.2232373452213885,0.2507593780296676,False
WN18RR,ComplEx,RotatE,Structured-low,Relation-low,overall,0.2208898822835644,0.2067113277688623,0.23419801358920142,0.23729754835154315,0.2232373452213885,0.2507593780296676,False
WN18RR,TransE,DistMult,Random,Structured-low,coverage_low,0.05189672731428218,0.033960715769757274,0.06868463735368846,0.04215688441963477,0.028349311388920138,0.05527753237097208,False
WN18RR,TransE,DistMult,Random,Relation-low,coverage_low,0.05189672731428218,0.033960715769757274,0.06868463735368846,0.03157273496732232,0.01937765370492158,0.04445768280768877,False
WN18RR,TransE,DistMult,Structured-low,Relation-low,coverage_low,0.04215688441963477,0.028349311388920138,0.05527753237097208,0.03157273496732232,0.01937765370492158,0.04445768280768877,False
WN18RR,TransE,ComplEx,Random,Structured-low,coverage_low,0.041563666136067615,0.025879753881564556,0.05780844447923565,0.032342508766842915,0.01748870697797762,0.04661428866381213,False
WN18RR,TransE,ComplEx,Random,Relation-low,coverage_low,0.041563666136067615,0.025879753881564556,0.05780844447923565,0.022041994869227463,0.009063321959095944,0.03540648202226105,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,coverage_low,0.032342508766842915,0.01748870697797762,0.04661428866381213,0.022041994869227463,0.009063321959095944,0.03540648202226105,False
WN18RR,TransE,RotatE,Random,Structured-low,coverage_low,0.10528186440989795,0.08957887410456682,0.12135784549602986,0.09929086874299882,0.08430965004908289,0.11455296365766246,False
WN18RR,TransE,RotatE,Random,Relation-low,coverage_low,0.10528186440989795,0.08957887410456682,0.12135784549602986,0.07745642693369019,0.0632594120844196,0.09226996019327627,False
WN18RR,TransE,RotatE,Structured-low,Relation-low,coverage_low,0.09929086874299882,0.08430965004908289,0.11455296365766246,0.07745642693369019,0.0632594120844196,0.09226996019327627,False
WN18RR,DistMult,ComplEx,Random,Structured-low,coverage_low,-0.010333061178214566,-0.024251182928658972,0.003927180199821374,-0.009814375652791855,-0.018021902815845224,-0.0022142576751682237,False
WN18RR,DistMult,ComplEx,Random,Relation-low,coverage_low,-0.010333061178214566,-0.024251182928658972,0.003927180199821374,-0.009530740098094855,-0.016487937258509545,-0.0033205390813149894,False
WN18RR,DistMult,ComplEx,Structured-low,Relation-low,coverage_low,-0.009814375652791855,-0.018021902815845224,-0.0022142576751682237,-0.009530740098094855,-0.016487937258509545,-0.0033205390813149894,False
WN18RR,DistMult,RotatE,Random,Structured-low,coverage_low,0.05338513709561577,0.04033950939180968,0.06934201623729305,0.057133984323364057,0.04467366952899037,0.07128891850627016,False
WN18RR,DistMult,RotatE,Random,Relation-low,coverage_low,0.05338513709561577,0.04033950939180968,0.06934201623729305,0.04588369196636788,0.03487904877620166,0.058002638099085034,False
WN18RR,DistMult,RotatE,Structured-low,Relation-low,coverage_low,0.057133984323364057,0.04467366952899037,0.07128891850627016,0.04588369196636788,0.03487904877620166,0.058002638099085034,False
WN18RR,ComplEx,RotatE,Random,Structured-low,coverage_low,0.06371819827383034,0.050122322446022764,0.07934565873352613,0.0669483599761559,0.053104498411122664,0.08281313509372362,False
WN18RR,ComplEx,RotatE,Random,Relation-low,coverage_low,0.06371819827383034,0.050122322446022764,0.07934565873352613,0.05541443206446273,0.042635149341843086,0.06998836844397102,False
WN18RR,ComplEx,RotatE,Structured-low,Relation-low,coverage_low,0.0669483599761559,0.053104498411122664,0.08281313509372362,0.05541443206446273,0.042635149341843086,0.06998836844397102,False
WN18RR,TransE,DistMult,Random,Structured-low,relation_low,0.06492254806799726,0.048796842314629336,0.0819764022651014,0.051142408745472226,0.029443471162097234,0.07030308635931966,False
WN18RR,TransE,DistMult,Random,Relation-low,relation_low,0.06492254806799726,0.048796842314629336,0.0819764022651014,0.03537375113664788,0.02642154180001031,0.0450132780248572,False
WN18RR,TransE,DistMult,Structured-low,Relation-low,relation_low,0.051142408745472226,0.029443471162097234,0.07030308635931966,0.03537375113664788,0.02642154180001031,0.0450132780248572,False
WN18RR,TransE,ComplEx,Random,Structured-low,relation_low,0.040232698912752454,0.022178001734893905,0.05896542425022884,0.028340047860930126,0.010558943845657918,0.04567235076088835,False
WN18RR,TransE,ComplEx,Random,Relation-low,relation_low,0.040232698912752454,0.022178001734893905,0.05896542425022884,0.03756138481496681,0.02688568120714172,0.04866911691121139,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,relation_low,0.028340047860930126,0.010558943845657918,0.04567235076088835,0.03756138481496681,0.02688568120714172,0.04866911691121139,False
